,id,name,blurb,goal,pledged,state,slug,disable_communication,country,currency,currency_trailing_code,deadline,state_changed_at,created_at,launched_at,staff_pick,backers_count,static_usd_rate,usd_pledged,spotlight,name_len,name_len_clean,blurb_len,blurb_len_clean,deadline_weekday,state_changed_at_weekday,created_at_weekday,launched_at_weekday,deadline_month,deadline_day,deadline_yr,deadline_hr,state_changed_at_month,state_changed_at_day,state_changed_at_yr,state_changed_at_hr,created_at_month,created_at_day,created_at_yr,created_at_hr,launched_at_month,launched_at_day,launched_at_yr,launched_at_hr,create_to_launch_days,launch_to_deadline_days,launch_to_state_change_days,SuccessfulBool,USorGB,TOPCOUNTRY,LaunchedTuesday,DeadlineWeekend
10,1743130616,Hackintosh Build Project Book - # ffffff,"a book that talks about and demonstrates a hackintosh build, the pros/cons and legal status and an analysis compared to the mac pro",7300,72,failed,hackintosh-build-project-book-ffffff,FALSE,GB,GBP,FALSE,11/10/16 15:00,11/10/16 15:00,9/12/16 17:02,10/11/16 15:00,FALSE,5,1.24191205,89.4176676,FALSE,7,7,23,12,Thursday,Thursday,Monday,Tuesday,11,10,2016,15,11,10,2016,15,9,12,2016,17,10,11,2016,15,28,30,30,0,1,1,1,0
11,429226406,What's Next - Exploring Your Future,"This magazine is purposed to allow high school students the opportunity to explore their future and determine ""What's Next"".",10000,826,failed,whats-next-exploring-your-future,FALSE,US,USD,TRUE,6/30/16 7:18,6/30/16 7:18,3/22/16 10:50,5/1/16 7:18,FALSE,10,1,826,FALSE,6,6,19,13,Thursday,Thursday,Tuesday,Sunday,6,30,2016,7,6,30,2016,7,3,22,2016,10,5,1,2016,7,39,60,60,0,1,1,0,0
12,2112786846,ProVi Professionelle Lernvideos,"E-Learning Plattform Fachbereich Mathematik. Bildung für jeden soll keine Idee sein. Mathe, das Haterfach Nr.1, das muss nicht sein.",1700,0,failed,provi-professionelle-lernvideos,FALSE,DE,EUR,FALSE,1/7/17 8:55,1/7/17 8:55,1/2/17 5:27,1/2/17 8:55,FALSE,0,1.05185099,0,FALSE,3,3,19,19,Saturday,Saturday,Monday,Monday,1,7,2017,8,1,7,2017,8,1,2,2017,5,1,2,2017,8,0,5,5,0,0,0,0,1
13,1849446483,I Want To Learn English,IWTLE is a textbook designed to teach English to adult learners new to the language starting with the fundamentals rooted in phonics.,10000,380,failed,i-want-to-learn-english,FALSE,US,USD,TRUE,6/1/15 13:10,6/1/15 13:10,3/20/15 8:07,4/17/15 13:10,FALSE,7,1,380,FALSE,5,5,22,13,Monday,Monday,Friday,Friday,6,1,2015,13,6,1,2015,13,3,20,2015,8,4,17,2015,13,28,45,45,0,1,1,0,0
14,1569011636,MicroEconomics: Mobile Classes,"I am building video classes in Economics that are intuitive, visually pleasing and theoretically sound.",12000,0,failed,microeconomics-mobile-classes,FALSE,CA,CAD,TRUE,12/19/15 17:46,12/19/15 17:46,10/31/15 17:11,11/4/15 17:46,FALSE,0,0.76427883,0,FALSE,3,3,15,10,Saturday,Saturday,Saturday,Wednesday,12,19,2015,17,12,19,2015,17,10,31,2015,17,11,4,2015,17,4,45,45,0,0,0,0,1
15,715603667,What All The Worlds Seeking,"The Law of True Life, Greatness, Power and Happiness",50000,0,failed,what-all-the-worlds-seeking,FALSE,US,USD,TRUE,5/1/15 14:37,5/1/15 14:37,3/26/15 9:57,4/1/15 14:37,FALSE,0,1,0,FALSE,5,5,9,7,Friday,Friday,Thursday,Wednesday,5,1,2015,14,5,1,2015,14,3,26,2015,9,4,1,2015,14,6,30,30,0,1,1,0,0
16,186321733,TRU'NATION,TRU'NATION is a venture design to support adolescent students (in middle school and high school) from urban communities achieve success,20000,0,failed,trunation-0,FALSE,US,USD,TRUE,2/3/17 13:00,2/3/17 13:00,1/2/17 20:33,1/2/17 21:08,FALSE,0,1,0,FALSE,1,1,20,15,Friday,Friday,Monday,Monday,2,3,2017,13,2,3,2017,13,1,2,2017,20,1,2,2017,21,0,31,31,0,1,1,0,0
17,527974588,Sword-Site Advanced Documentation of Sword Measurements,To add advanced measurements of significant swords to my website Sword-Site.Com by travelling to the world's important collections.,30000,1,failed,sword-site-advanced-documentation-of-sword-measure,FALSE,AU,AUD,TRUE,9/9/14 3:08,9/9/14 3:08,8/7/14 5:10,8/10/14 3:08,FALSE,1,0.92766014,0.92766014,FALSE,6,5,18,12,Tuesday,Tuesday,Thursday,Sunday,9,9,2014,3,9,9,2014,3,8,7,2014,5,8,10,2014,3,2,30,30,0,0,0,0,0
18,802037657,The Nawawi Diaries,"40 Hadith. 40 Months. Ended: 40th B-day. I reflected on, researched, and implemented ~40 Hadith By Imam Nawawi",48000,20,failed,the-nawawi-diaries,FALSE,US,USD,TRUE,10/3/15 18:05,10/3/15 18:05,7/23/15 12:11,8/4/15 18:05,FALSE,1,1,20,FALSE,3,3,18,17,Saturday,Saturday,Thursday,Tuesday,10,3,2015,18,10,3,2015,18,7,23,2015,12,8,4,2015,18,12,60,60,0,1,1,1,1
19,88388947,The Revelation: A Reading of the Vision and Letter of John t,"A serious, readable commentary, the first chapter is free at mmcdonald77.wordpress.com. The book publisher requires this amount, + fee.",2080,0,failed,the-revelation-a-reading-of-the-vision-and-letter,FALSE,US,USD,TRUE,1/16/15 16:06,1/16/15 16:06,11/17/14 13:28,12/16/14 9:13,FALSE,0,1,0,FALSE,12,7,19,15,Friday,Friday,Monday,Tuesday,1,16,2015,16,1,16,2015,16,11,17,2014,13,12,16,2014,9,28,31,31,0,1,1,1,0
20,1458256720,Send me to Kapalua to play and chronical the course.,"I am a novice golfer, but I would like the opportunity to chronicle a round of golf at the world famous Plantation Course at Kapalua.",500,0,failed,send-me-to-kapalua-to-play-and-chronical-the-cours,FALSE,US,USD,TRUE,8/28/14 21:31,8/28/14 21:31,7/28/14 12:57,7/29/14 21:31,FALSE,0,1,0,FALSE,10,5,25,15,Thursday,Thursday,Monday,Tuesday,8,28,2014,21,8,28,2014,21,7,28,2014,12,7,29,2014,21,1,30,30,0,1,1,1,0
21,1984764148,Shepard's Journey,The journey of an amazing mini-Schnauzer's from New Orleans Louisiana to Fairbanks Alaska with many adventures along the way,2000,60,failed,shepards-journey,FALSE,US,USD,TRUE,7/27/14 14:03,7/27/14 14:03,5/17/14 2:23,5/28/14 14:03,FALSE,3,1,60,FALSE,2,2,19,13,Sunday,Sunday,Saturday,Wednesday,7,27,2014,14,7,27,2014,14,5,17,2014,2,5,28,2014,14,11,60,60,0,1,1,0,1
22,234618344,Lomo South Devon Photo Project,A documentary photo project taking a lomography look at the beautiful coast of South Devon. Using a plastic camera and lomography film.,250,20,failed,lomo-south-devon-photo-project,FALSE,GB,GBP,FALSE,6/22/14 13:55,6/22/14 13:55,5/27/14 9:39,5/28/14 13:55,FALSE,1,1.68671894,33.7343788,FALSE,5,5,22,16,Sunday,Sunday,Tuesday,Wednesday,6,22,2014,13,6,22,2014,13,5,27,2014,9,5,28,2014,13,1,25,25,0,1,1,0,1
23,736237802,Exploring horizons of Central Asia,"Professional photo trip to Central Asia, Uzbekistan. Worldwide photographer Vladimir Tschelowski.",3000,25,failed,exploring-horizons-of-central-asia,FALSE,DE,EUR,FALSE,4/12/16 16:35,4/12/16 16:35,3/11/16 11:18,3/13/16 16:35,FALSE,2,1.11503852,27.875963,FALSE,5,4,11,10,Tuesday,Tuesday,Friday,Sunday,4,12,2016,16,4,12,2016,16,3,11,2016,11,3,13,2016,16,2,30,30,0,0,0,0,0
24,1367940921,Photography & Videos of Europe,"Hey guys, I'm headed to Iceland and parts of Europe this July/August, I want to share some of my photos/videos with you.",250,5,failed,photography-and-videos-of-europe,FALSE,CA,CAD,TRUE,7/15/16 15:14,7/15/16 15:14,5/27/16 10:46,5/31/16 15:14,FALSE,1,0.76520696,3.8260348,FALSE,5,4,22,13,Friday,Friday,Friday,Tuesday,7,15,2016,15,7,15,2016,15,5,27,2016,10,5,31,2016,15,4,45,45,0,0,0,1,0
25,1697034959,"#BackOnTheWall - 4 Photographers, 4 Styles, 1 Mission",We want to give images their due space in our fast moving society and bring them from screens and smart devices #BackOnTheWall.,24000,17520,failed,backonthewall-4-photographers-4-styles-1-mission,FALSE,AT,EUR,FALSE,4/18/16 10:43,4/18/16 10:43,1/22/16 6:06,3/9/16 10:43,FALSE,66,1.10208989,19308.61487,FALSE,8,8,22,14,Monday,Monday,Friday,Wednesday,4,18,2016,10,4,18,2016,10,1,22,2016,6,3,9,2016,10,47,40,40,0,0,0,0,0
26,133730080,Inspiring Fine Art World Photos Calendar,"Since 2006, I have been able to witness and photograph some of the most beautiful places on the planet and now it's time to share.",2000,256,failed,inspiring-fine-art-world-photos-calendar,FALSE,US,USD,TRUE,11/19/15 13:30,11/19/15 13:30,9/29/15 23:17,10/30/15 13:30,FALSE,11,1,256,FALSE,6,6,25,12,Thursday,Thursday,Tuesday,Friday,11,19,2015,13,11,19,2015,13,9,29,2015,23,10,30,2015,13,30,20,20,0,1,1,0,0
27,127604132,Nationals Park Through the Lens (Baseball Photography),"Photographic series of Nationals Park in Washington, D.C. One of the many stops in capturing each Stadiums beauty.",495,27,failed,nationals-park-through-the-lens-baseball-photograp,FALSE,US,USD,TRUE,3/30/16 12:46,3/30/16 12:46,2/29/16 9:36,2/29/16 12:46,FALSE,2,1,27,FALSE,7,6,18,12,Wednesday,Wednesday,Monday,Monday,3,30,2016,12,3,30,2016,12,2,29,2016,9,2,29,2016,12,0,30,30,0,1,1,0,0
28,1908241906,Skeleton Coast - a limited edition photo book.,"A trip to photograph the desolate, haunting shipwrecks of western Africa's ""Skeleton Coast"" and produce a high quality photo book.",5275,1635,failed,skeleton-coast-a-limited-edition-photo-book,FALSE,GB,GBP,FALSE,7/6/14 8:58,7/6/14 8:58,5/22/14 8:00,6/16/14 8:58,FALSE,18,1.69667807,2774.068644,FALSE,8,7,20,15,Sunday,Sunday,Thursday,Monday,7,6,2014,8,7,6,2014,8,5,22,2014,8,6,16,2014,8,25,20,20,0,1,1,0,1
29,1991872276,Void Photography,"Void Photography, in a nutshell, is what I've always wanted my career to be. Involving travelling, meeting people, and taking photos.",5500,1,failed,void-photography,FALSE,US,USD,TRUE,12/5/14 11:10,12/5/14 11:10,10/20/14 4:27,10/21/14 11:10,FALSE,1,1,1,FALSE,2,2,21,14,Friday,Friday,Monday,Tuesday,12,5,2014,11,12,5,2014,11,10,20,2014,4,10,21,2014,11,1,45,45,0,1,1,1,0
30,1101705025,"Earths Amazing Places, crowdsourced photography",Our planet is full of amazing places and this project gives you the chance to show the world the amazing places near you.,4000,56,failed,earths-amazing-places-crowdsourced-photography,FALSE,GB,GBP,FALSE,5/10/15 16:09,5/10/15 16:09,11/18/13 17:31,3/11/15 16:09,FALSE,2,1.50915377,84.51261112,FALSE,5,5,23,14,Sunday,Sunday,Monday,Wednesday,5,10,2015,16,5,10,2015,16,11,18,2013,17,3,11,2015,16,477,60,60,0,1,1,0,1
31,342648715,Places & People,This project will be a short book compiled of Stories and photos talking about new people and places from locations in the western U.S.,3500,0,failed,places-and-people,FALSE,US,USD,TRUE,6/16/15 14:14,6/16/15 14:15,3/6/15 10:02,4/27/15 14:14,FALSE,0,1,0,FALSE,3,3,24,14,Tuesday,Tuesday,Friday,Monday,6,16,2015,14,6,16,2015,14,3,6,2015,10,4,27,2015,14,52,50,50,0,1,1,0,0
32,1677043460,Minnesota Unseen,"A Unique and unseen collection of Landscape, nature and wildlife photographs from the great state of minnesota.",7000,0,failed,minnesota-unseen,FALSE,US,USD,TRUE,6/7/16 0:21,6/7/16 0:21,5/23/16 23:07,5/24/16 0:21,FALSE,0,1,0,FALSE,2,2,17,11,Tuesday,Tuesday,Monday,Tuesday,6,7,2016,0,6,7,2016,0,5,23,2016,23,5,24,2016,0,0,14,14,0,1,1,1,0
33,79665264,National Historic Landmarks of Chicago,I would like to photograph the historic sites around Chicago. I would like to include the Pullman factory and other ignored landmarks,1280,21,failed,national-historic-landmarks-of-chicago,FALSE,US,USD,TRUE,12/12/14 13:52,12/12/14 13:52,8/28/14 23:07,11/12/14 13:52,FALSE,4,1,21,FALSE,5,4,22,16,Friday,Friday,Thursday,Wednesday,12,12,2014,13,12,12,2014,13,8,28,2014,23,11,12,2014,13,75,30,30,0,1,1,0,0
34,2104461556,Help Make Photography Program a Reality to East NY Youth,I am raising funds to bring a photography/video club to the At Risk Youth of the East New York Community.,20000,61,failed,help-make-photography-program-a-reality-to-east-ny,FALSE,US,USD,TRUE,1/16/16 20:53,1/16/16 20:53,12/16/15 20:43,12/17/15 20:53,FALSE,4,1,61,FALSE,10,8,20,13,Saturday,Saturday,Wednesday,Thursday,1,16,2016,20,1,16,2016,20,12,16,2015,20,12,17,2015,20,1,30,30,0,1,1,0,1
35,785046586,Ours,"""OURS"" is an urban photography book, it shows our cities and streets, our environment, our culture and memories, our history and future",3000,1,failed,ours,FALSE,CH,CHF,FALSE,8/13/16 20:13,8/13/16 20:13,7/14/16 19:23,7/14/16 20:13,FALSE,1,1.01243575,1.01243575,FALSE,1,1,22,12,Saturday,Saturday,Thursday,Thursday,8,13,2016,20,8,13,2016,20,7,14,2016,19,7,14,2016,20,0,30,30,0,0,0,0,1
36,1674832380,Mystery Postcards,"Postcards with a twist: I send you a postcard with one of my photos on it, you figure out the location from the clues in the message.",4500,690,failed,mystery-postcards,FALSE,US,USD,TRUE,4/9/15 18:00,4/9/15 18:00,2/27/14 1:41,3/11/15 22:58,FALSE,35,1,690,FALSE,2,2,27,12,Thursday,Thursday,Thursday,Wednesday,4,9,2015,18,4,9,2015,18,2,27,2014,1,3,11,2015,22,377,28,28,0,1,1,0,0
37,1752035272,The Holy Land Experience,This book will contains some of the most breathtaking photos of the Holy land ever seen along with a detailed description you'll love,5000,0,failed,the-holy-land-experience,FALSE,US,USD,TRUE,11/17/14 3:12,11/17/14 3:12,8/29/14 1:38,9/18/14 3:12,FALSE,0,1,0,FALSE,4,4,23,14,Monday,Monday,Friday,Thursday,11,17,2014,3,11,17,2014,3,8,29,2014,1,9,18,2014,3,20,60,60,0,1,1,0,0
38,1814043302,Beginning Photography,I just want to pick up on a photography project around my beautiful UCLA campus and I need funds to purchase a quality camera. :),450,31,failed,beginning-photography,FALSE,US,USD,TRUE,8/6/14 11:09,8/6/14 11:09,7/5/14 14:18,7/7/14 11:09,FALSE,6,1,31,FALSE,2,2,25,16,Wednesday,Wednesday,Saturday,Monday,8,6,2014,11,8,6,2014,11,7,5,2014,14,7,7,2014,11,1,30,30,0,1,1,0,0
39,1085300832,A Photographic Exploration Of The UK,"A photographic guide to all UK's National Parks and areas of beauty. 

A modern complete digital photographic guide + walking routes",9000,44,failed,a-photographic-exploration-of-the-uk,FALSE,GB,GBP,FALSE,4/19/16 7:13,4/19/16 7:13,3/20/16 5:58,3/20/16 7:13,FALSE,4,1.44749851,63.68993444,FALSE,6,6,21,17,Tuesday,Tuesday,Sunday,Sunday,4,19,2016,7,4,19,2016,7,3,20,2016,5,3,20,2016,7,0,30,30,0,1,1,0,0
40,1413142553,Valleytown in the Quiet Hours photography exhibition,A print series creating a moonlit portrait of a sleeping small town in the mountains of North Carolina. Everytown USA while it dreams.,500,300,failed,valleytown-in-the-quiet-hours-photography-exhibiti,FALSE,US,USD,TRUE,8/31/14 22:59,8/31/14 22:59,7/21/14 20:40,7/27/14 11:27,FALSE,2,1,300,FALSE,7,5,23,15,Sunday,Sunday,Monday,Sunday,8,31,2014,22,8,31,2014,22,7,21,2014,20,7,27,2014,11,5,35,35,0,1,1,0,1
41,1597799581,Euro 2016: Behind The Beautiful Game,Let us take you behind the scenes of the greatest sporting event France will ever see with a Photobook showing the other si; Euro 2016,15000,80,failed,euro-2016-behind-the-beautiful-game,FALSE,GB,GBP,FALSE,6/12/15 17:52,6/12/15 17:52,4/28/15 13:15,4/28/15 17:52,FALSE,1,1.51839305,121.471444,FALSE,6,6,25,16,Friday,Friday,Tuesday,Tuesday,6,12,2015,17,6,12,2015,17,4,28,2015,13,4,28,2015,17,0,45,45,0,1,1,1,0
42,159362892,Wish you were here: Polaroids from New York,"Sending polaroid postcards (postaroids) and other memorabilia from one of the most sought after destinations in the world, New York.",1000,13,failed,wish-you-were-here-polaroids-from-new-york,FALSE,US,USD,TRUE,7/24/15 20:48,7/24/15 20:48,6/23/15 0:21,6/24/15 20:48,FALSE,2,1,13,FALSE,8,5,20,11,Friday,Friday,Tuesday,Wednesday,7,24,2015,20,7,24,2015,20,6,23,2015,0,6,24,2015,20,1,30,30,0,1,1,0,0
43,1322726375,European Castle Historical Project,I'd like to raise money so I can do first-hand research on some of Europe's interesting historical castles for a photo book.,5000,1,failed,european-castle-historical-project,FALSE,US,USD,TRUE,3/23/15 15:51,3/23/15 15:51,1/5/15 11:21,1/22/15 15:51,FALSE,1,1,1,FALSE,4,4,22,13,Monday,Monday,Monday,Thursday,3,23,2015,15,3,23,2015,15,1,5,2015,11,1,22,2015,15,17,60,60,0,1,1,0,0
44,1514273117,Adventures of the Legoman,"Photos of the whereabouts of a Legoman at various spots, mainly in London.",500,11,failed,adventures-of-the-legoman,FALSE,GB,GBP,FALSE,1/10/15 10:02,1/10/15 10:02,12/1/14 18:19,12/11/14 10:02,FALSE,2,1.56695112,17.23646232,FALSE,4,2,13,7,Saturday,Saturday,Monday,Thursday,1,10,2015,10,1,10,2015,10,12,1,2014,18,12,11,2014,10,9,30,30,0,1,1,0,1
45,195722130,Epic Photographic Journey Across USA,This Epic Journey is to photograph scenic and historical sites within the United States. See Nearsighted Photographer on Facebook.,1200,477,failed,epic-photographic-journey-across-usa,FALSE,US,USD,TRUE,7/30/14 11:36,7/30/14 11:36,6/27/14 11:36,6/28/14 7:52,FALSE,10,1,477,FALSE,5,5,19,14,Wednesday,Wednesday,Friday,Saturday,7,30,2014,11,7,30,2014,11,6,27,2014,11,6,28,2014,7,0,32,32,0,1,1,0,0
46,1566570936,We Shot LA,"Three photographers meet in Los Angeles for a weekend to document the city's neighborhoods, landmarks, cemeteries, markets and more.",1000,25,failed,we-shot-la,FALSE,US,USD,TRUE,8/9/14 2:02,8/9/14 2:02,7/5/14 21:23,7/10/14 2:02,FALSE,1,1,25,FALSE,3,3,19,13,Saturday,Saturday,Saturday,Thursday,8,9,2014,2,8,9,2014,2,7,5,2014,21,7,10,2014,2,4,30,30,0,1,1,0,1
47,1504275125,Leaps and Bounds,"Due to a series of unfortunate circumstances, I am a photographer without a camera. Eager to start clicking, just need your help.",1000,0,failed,photography-by-leaps-and-bounds,FALSE,US,USD,TRUE,9/4/14 23:57,9/4/14 23:57,8/4/14 22:54,8/5/14 23:57,FALSE,0,1,0,FALSE,3,2,22,13,Thursday,Thursday,Monday,Tuesday,9,4,2014,23,9,4,2014,23,8,4,2014,22,8,5,2014,23,1,30,30,0,1,1,1,0
48,232015610,Klint Arnold Photography in Japan - An Amazing Journey,"I will travel to Japan to photograph the people, places, and culture and share those images back for full and free public domain use.",5000,1,failed,klint-arnold-photography-in-japan-an-amazing-journ,FALSE,US,USD,TRUE,12/11/14 10:45,12/11/14 10:45,8/6/14 10:50,11/11/14 10:45,FALSE,1,1,1,FALSE,9,8,24,15,Thursday,Thursday,Wednesday,Tuesday,12,11,2014,10,12,11,2014,10,8,6,2014,10,11,11,2014,10,96,30,30,0,1,1,1,0
49,675145281,POSTCARDS GOING SOMEWHERE,Three photographers are traveling to Paris/London and want to send you a self-printed postcard capturing the beauty of each place.,1000,58,failed,postcards-going-somewhere,FALSE,US,USD,TRUE,8/10/14 12:16,8/10/14 12:16,11/26/13 13:10,7/1/14 12:16,FALSE,14,1,58,FALSE,3,3,20,11,Sunday,Sunday,Tuesday,Tuesday,8,10,2014,12,8,10,2014,12,11,26,2013,13,7,1,2014,12,216,40,40,0,1,1,1,1
50,186055479,Great Britain and its coasts - Photography by Train,"From Thurso to Penzance, I'll travel all the coasts of Great Britain by train and take photos at every location before making a collage",350,11,failed,great-britain-and-its-coasts-photography-by-train,FALSE,GB,GBP,FALSE,10/31/14 15:27,10/31/14 15:27,8/22/14 13:40,9/1/14 15:27,FALSE,2,1.65984746,18.25832206,FALSE,9,6,24,15,Friday,Friday,Friday,Monday,10,31,2014,15,10,31,2014,15,8,22,2014,13,9,1,2014,15,10,60,60,0,1,1,0,0
51,1880779353,AVP: Aerial Video & Photography,To promote individual and business facilities through aerial videography and photography!,1500,120,failed,avp-aerial-video-and-photography,FALSE,US,USD,TRUE,9/8/14 13:07,9/8/14 13:07,7/30/14 10:57,8/9/14 13:07,FALSE,3,1,120,FALSE,5,5,11,8,Monday,Monday,Wednesday,Saturday,9,8,2014,13,9,8,2014,13,7,30,2014,10,8,9,2014,13,10,30,30,0,1,1,0,0
52,1100371666,Photographer Sharing the Deep Beauty of the Delaware River,"Raised along the Delaware River, I aspire to share and preserve its deep beauty while expanding my own capabilities as a photographer",2988,242,failed,photographer-sharing-the-deep-beauty-of-the-delawa,FALSE,US,USD,TRUE,3/10/15 16:09,3/10/15 16:09,1/11/15 18:36,2/8/15 16:09,FALSE,3,1,242,FALSE,9,6,22,13,Tuesday,Tuesday,Sunday,Sunday,3,10,2015,16,3,10,2015,16,1,11,2015,18,2,8,2015,16,27,30,30,0,1,1,0,0
53,292994840,Paranormal Investigation of an Abandoned Asylum,"I would like to do a paranormal investigation of Australia's Largest Abandoned Lunatic Asylum, Aradale Asylum.",1500,90,failed,paranormal-investigation-of-an-abandoned-asylum,FALSE,AU,AUD,TRUE,9/11/15 14:34,9/11/15 14:34,8/12/15 13:44,8/12/15 14:34,FALSE,6,0.73293579,65.9642211,FALSE,6,4,16,12,Friday,Friday,Wednesday,Wednesday,9,11,2015,14,9,11,2015,14,8,12,2015,13,8,12,2015,14,0,30,30,0,0,0,0,0
